feature,importance
D_126_-1.0_RespRate_12,0.00046278344
D_102_min_6,0.0004606426
R_9_max_6,0.00046008575
D_75_mean_12,0.0004597338
D_104_max_12,0.0004587842
R_14_min_12,0.0004587114
B_16_min_6,0.0004580017
B_29_min_6,0.00045764586
D_79_mean_6,0.0004575339
D_94_latest,0.00045751382
R_17_min_6,0.0004573068
D_51_max_12,0.0004571696
B_33_max_6,0.0004568799
R_15_min_6,0.0004561617
R_23_max_6,0.00045601142
D_94_mean_6,0.0004558605
S_22_latest,0.00045546098
D_86_max_12,0.00045533598
D_139_max_12,0.000454979
D_119_latest,0.00045369298
B_37_max_12,0.000453179
D_51_max_6,0.0004528621
D_61_max_12,0.0004527613
D_133_max_6,0.00045272382
R_23_latest,0.00045174346
D_136_min_12,0.00045161092
R_19_max_12,0.00045142067
D_55_max_12,0.00045098158
D_41_min_12,0.0004505634
B_40_min_12,0.00044937787
D_89_latest,0.0004493009
S_6_max_12,0.0004492823
R_25_max_6,0.00044853112
R_28_mean_6,0.0004483204
D_122_min_12,0.0004482888
B_41_max_12,0.000446885
D_54_max_12,0.00044684095
D_78_mean_6,0.00044670454
S_17_min_6,0.00044670253
B_21_max_6,0.00044602653
R_5_mean_12,0.00044569693
S_25_max_6,0.00044542862
B_10_min_12,0.00044391488
S_16_latest,0.00044364814
B_28_min_6,0.00044357163
D_144_min_12,0.00044329642
R_10_min_6,0.00044228134
B_9_max_12,0.00044123884
D_132_min_6,0.00044099725
B_27_min_6,0.0004406717
R_21_min_6,0.00044063482
R_28_min_12,0.00043944246
D_130_mean_6,0.00043847962
S_17_max_6,0.0004384461
B_21_mean_6,0.0004381182
D_59_min_6,0.00043556778
D_93_max_12,0.00043545073
D_130_min_6,0.00043528088
B_23_min_6,0.0004351477
B_8_min_6,0.00043493573
S_24_min_6,0.00043479187
P_4_min_12,0.00043460546
D_72_max_12,0.00043457796
D_55_min_12,0.0004344235
D_48_mean_6,0.0004338244
D_143_min_6,0.0004319441
S_15_latest,0.0004315742
D_89_mean_6,0.00043139662
S_25_min_6,0.00043136717
D_71_max_6,0.00042906398
D_140_mean_6,0.0004290553
R_11_max_12,0.0004290479
D_93_latest,0.00042901645
S_6_mean_12,0.00042793687
B_6_mean_12,0.00042669577
D_50_min_12,0.00042614155
B_25_min_12,0.00042547606
B_21_latest,0.00042507614
R_17_max_12,0.00042466263
S_17_max_12,0.00042423912
D_113_max_12,0.00042358474
D_115_latest,0.00042354813
P_3_max_6,0.00042354004
D_68_3.0_RespRate_12,0.00042328538
R_8_mean_6,0.00042301582
D_65_min_6,0.0004229211
D_86_latest,0.0004228766
S_24_min_12,0.00042267164
D_78_max_12,0.00042230025
D_133_mean_6,0.00042145734
D_69_min_12,0.00042139587
D_138_mean_12,0.00042101176
D_127_min_12,0.00042000052
B_25_max_6,0.0004196015
B_27_latest,0.00041943495
D_69_max_12,0.00041911344
R_19_latest,0.000418996
